"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"75","Y~X",NA,NA,0.4,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"76","Y~Z",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"77","Y~X:Z",NA,NA,0.3,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"78","X~~Z",NA,NA,0.2,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"79","X=~x1",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"80","X=~x2",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"81","X=~x3",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"82","Z=~z1",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"83","Z=~z2",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"84","Z=~z3",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"85","Y=~y1",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"86","Y=~y2",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"87","Y=~y3",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"88","Y~X",NA,NA,0.4,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"89","Y~Z",NA,NA,0.5,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"90","Y~X:Z",NA,NA,0.3,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"91","X~~Z",NA,NA,0.2,"PLS",1202,2859713,200,"Symmetric","2",FALSE,3.63
"92","X=~x1",0.135,0.227,0.5,"Mplus",1202,2859713,200,"Symmetric","2",TRUE,47.87
